origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
309583429,4941407719,-12.1724072,-76.9826795,-12.1721298,-76.9825644,Sin nombre,33.29,2.31,76.9,9.23,Chorrillos,Chorrillos
309583451,309583390,-12.1743143,-76.9914541,-12.1744741,-76.9912715,Sin nombre,29.56,1.05,31.04,3.73,Chorrillos,Chorrillos
309583451,2833684005,-12.1743143,-76.9914541,-12.1741668,-76.9928345,Avenida Alipio Ponce,206.99,1.5,310.48,37.27,Chorrillos,Chorrillos
309583472,1753892123,-12.1718535,-76.9946469,-12.1723388,-76.9950801,Avenida Los Faisanes,71.62,1.27,90.96,10.92,Chorrillos,Chorrillos
309583472,2799241778,-12.1718535,-76.9946469,-12.1698261,-76.9952067,Calle Palace Atenea,243.38,1.13,275.02,33.02,Chorrillos,Chorrillos
309583472,890071817,-12.1718535,-76.9946469,-12.1706384,-76.9935847,Avenida Los Faisanes,177.73,1.7,302.14,36.27,Chorrillos,Chorrillos
309583473,1753892123,-12.1725133,-76.9952376,-12.1723388,-76.9950801,Avenida Los Faisanes,25.88,2.38,61.59,7.39,Chorrillos,Chorrillos
309583473,2799237135,-12.1725133,-76.9952376,-12.1689552,-76.9957804,Calle Huánuco,428.43,1.87,801.16,96.18,Chorrillos,Chorrillos
309583473,1753892129,-12.1725133,-76.9952376,-12.1730989,-76.9957635,Avenida Los Faisanes,86.65,1.24,107.45,12.9,Chorrillos,Chorrillos
309583598,1229111517,-12.1826776,-76.9995125,-12.1826148,-76.9996003,Avenida Guardia Peruana,11.83,1.63,19.28,2.31,Chorrillos,Chorrillos
309583598,1701366828,-12.1826776,-76.9995125,-12.1802354,-76.9979197,Avenida Guardia Civil Sur,325.3,2.43,790.48,94.9,Chorrillos,Chorrillos
309583688,371264697,-12.1809792,-77.0075872,-12.1803709,-77.0075258,Avenida Las Gaviotas,67.97,2.31,157.01,18.85,Chorrillos,Chorrillos
309583688,304905064,-12.1809792,-77.0075872,-12.1808927,-77.0079153,Avenida Las Gaviotas,37.35,1.2,44.82,5.38,Chorrillos,Chorrillos
309583778,304905226,-12.1756172,-77.0041555,-12.175694,-77.0042215,Avenida Las Gaviotas,11.15,1.76,19.62,2.36,Chorrillos,Chorrillos
309583778,10029956536,-12.1756172,-77.0041555,-12.1749777,-77.0036071,Avenida Las Gaviotas,92.79,1.36,126.19,15.15,Chorrillos,Chorrillos
309583778,310955011,-12.1756172,-77.0041555,-12.1753547,-77.0044526,Jirón Andrómeda,43.53,2.09,90.98,10.92,Chorrillos,Chorrillos
309583793,304905111,-12.1746076,-77.0055063,-12.1745329,-77.0056144,Jirón Andrómeda,14.39,1.96,28.2,3.39,Chorrillos,Chorrillos
309583793,310955011,-12.1746076,-77.0055063,-12.1753547,-77.0044526,Jirón Andrómeda,141.64,1.46,206.79,24.82,Chorrillos,Chorrillos
309583793,310955019,-12.1746076,-77.0055063,-12.1741612,-77.0051407,Avenida Ariosto Matellini,63.67,1.7,108.24,12.99,Chorrillos,Chorrillos
309583819,309583820,-12.1766126,-77.0111294,-12.1769477,-77.0115058,Avenida Los Pumas,55.34,1.57,86.88,10.43,Chorrillos,Chorrillos
309583819,371264551,-12.1766126,-77.0111294,-12.1757864,-77.0118447,Jirón Luis de la Cuba,120.35,1.19,143.22,17.19,Chorrillos,Chorrillos
309583819,3974743882,-12.1766126,-77.0111294,-12.1777673,-77.0100768,Jirón Luis de la Cuba,171.98,2.22,381.8,45.83,Chorrillos,Chorrillos
309583820,3725509380,-12.1769477,-77.0115058,-12.1753261,-77.0129534,Avenida Prolongación Paseo de la República,239.31,1.3,311.1,37.35,Chorrillos,Chorrillos
309583829,10702338843,-12.1763844,-77.0068686,-12.1764722,-77.0069631,Avenida Ariosto Matellini,14.17,1.5,21.26,2.55,Chorrillos,Chorrillos
309583829,10702338844,-12.1763844,-77.0068686,-12.1763265,-77.0070009,Avenida Guardia Peruana,15.76,2.08,32.78,3.94,Chorrillos,Chorrillos
